content,label,filtered,cleaned,content_tokens,normalisasi
mudah2 an di acc buat biaya pendidikan,0,mudah an di acc buat biaya pendidikan,mudah di acc biaya didik,"['mudah', 'di', 'acc', 'biaya', 'didik']","['mudah', 'di', 'terima', 'biaya', 'didik']"
semoga cair kalo udah cair kasih 1 lagi,0,semoga cair kalo udah cair kasih lagi,moga cair kalo udah cair kasih,"['moga', 'cair', 'kalo', 'udah', 'cair', 'kasih']","['semoga', 'cair', 'kalau', 'sudah', 'cair', 'kasih']"
saya data pribadi saya d hapus secara permanaen tolong d hapus segera,0,saya data pribadi saya d hapus secara permanaen tolong d hapus segera,saya data pribadi saya hapus cara permanaen tolong hapus segera,"['saya', 'data', 'pribadi', 'saya', 'hapus', 'cara', 'permanaen', 'tolong', 'hapus', 'segera']","['aku', 'data', 'pribadi', 'aku', 'hapus', 'cara', 'permanaen', 'tolong', 'hapus', 'segera']"
"pengajuan tgl 10 februari registrasi sdh lengkap, alhasil sampai tgl 16 februari keterangan di aplikasi pemberitahuan *""pengajuan pinjaman sedang diproses""*jd aplikasi akan saya uninstall dr sekarang, mohon data saya yg sdh masuk jangan disalahgunakan/hapus saja datanya ã°å¸â¢â",0,pengajuan tgl februari registrasi sdh lengkap alhasil sampai tgl februari keterangan di aplikasi pemberitahuan pengajuan pinjaman sedang diproses jd aplikasi akan saya uninstall dr sekarang mohon data saya yg sdh masuk jangan disalahgunakan hapus saja datanya,aju tgl februari registrasi sdh lengkap alhasil sampai tgl februari terang aplikasi pemberitahuan aju pinjam sedang proses jd aplikasi akan saya uninstall sekarang mohon data saya sdh masuk jangan disalahgunakan hapus data,"['aju', 'tgl', 'februari', 'registrasi', 'sdh', 'lengkap', 'alhasil', 'sampai', 'tgl', 'februari', 'terang', 'aplikasi', 'pemberitahuan', 'aju', 'pinjam', 'sedang', 'proses', 'jd', 'aplikasi', 'akan', 'saya', 'uninstall', 'sekarang', 'mohon', 'data', 'saya', 'sdh', 'masuk', 'jangan', 'disalahgunakan', 'hapus', 'data']","['aju', 'tanggal', 'februari', 'registrasi', 'sudah', 'lengkap', 'hasil', 'sampai', 'tanggal', 'februari', 'terang', 'aplikasi', 'pemberitahuan', 'aju', 'pinjam', 'sedang', 'proses', 'jd', 'aplikasi', 'akan', 'aku', 'uninstall', 'sekarang', 'mohon', 'data', 'aku', 'sudah', 'masuk', 'jangan', 'disalahgunakan', 'hapus', 'data']"
mudah mudahan lolos,0,mudah mudahan lolos,mudah mudah lolos,"['mudah', 'mudah', 'lolos']","['mudah', 'mudah', 'lolos']"
kl cair full bintang,0,kl cair full bintang,cair full bintang,"['cair', 'full', 'bintang']","['cair', 'penuh', 'bintang']"
sementara belum ada kejelasan kasih bintang 3,0,sementara belum ada kejelasan kasih bintang,sementara belum ada jelas kasih bintang,"['sementara', 'belum', 'ada', 'jelas', 'kasih', 'bintang']","['sementara', 'belum', 'ada', 'jelas', 'kasih', 'bintang']"
semoga membantu kalo acc bintang full,0,semoga membantu kalo acc bintang full,moga bantu kalo acc bintang full,"['moga', 'bantu', 'kalo', 'acc', 'bintang', 'full']","['semoga', 'bantu', 'kalau', 'terima', 'bintang', 'penuh']"
gak ada masalah dari pembayaran.. beberapa mengajukan tidak di acc bangkrut yaa semoga bangkrut sajahlah wkwkwk,0,gak ada masalah dari pembayaran beberapa mengajukan tidak di acc bangkrut yaa semoga bangkrut sajahlah wkwkwk,gak ada masalah bayar beberapa aju tidak acc bangkrut moga bangkrut sajahlah,"['gak', 'ada', 'masalah', 'bayar', 'beberapa', 'aju', 'tidak', 'acc', 'bangkrut', 'moga', 'bangkrut', 'sajahlah']","['tidak', 'ada', 'masalah', 'bayar', 'beberapa', 'aju', 'tidak', 'terima', 'bangkrut', 'semoga', 'bangkrut', 'sajahlah']"
semoga aplikasi ini dapat membantu saya untuk memenuhi kebutuhan saya,0,semoga aplikasi ini dapat membantu saya untuk memenuhi kebutuhan saya,moga aplikasi dapat bantu saya untuk penuh butuh saya,"['moga', 'aplikasi', 'dapat', 'bantu', 'saya', 'untuk', 'penuh', 'butuh', 'saya']","['semoga', 'aplikasi', 'dapat', 'bantu', 'aku', 'untuk', 'penuh', 'butuh', 'aku']"
terimakasih,0,terimakasih,terimakasih,['terimakasih'],['terimakasih']
kasih bilang 4 dulu sebab baru ngajukan,0,kasih bilang dulu sebab baru ngajukan,kasih dulu sebab baru ngajukan,"['kasih', 'dulu', 'sebab', 'baru', 'ngajukan']","['kasih', 'dulu', 'sebab', 'baru', 'ngajukan']"
"baru nyoba mudah""an di acc",0,baru nyoba mudah an di acc,baru nyoba mudah di acc,"['baru', 'nyoba', 'mudah', 'di', 'acc']","['baru', 'coba', 'mudah', 'di', 'terima']"
mudah mudaham d acc,0,mudah mudaham d acc,mudah mudaham acc,"['mudah', 'mudaham', 'acc']","['mudah', 'mudaham', 'terima']"
ã°å¸â¢âã°å¸ââ»,0,,,[],[]
dua saja dulu yg lainya nyusul klw sudah sukses d acc,0,dua saja dulu yg lainya nyusul klw sudah sukses d acc,dua dulu lai nyusul klw sudah sukses acc,"['dua', 'dulu', 'lai', 'nyusul', 'klw', 'sudah', 'sukses', 'acc']","['dua', 'dulu', 'lai', 'nyusul', 'klw', 'sudah', 'sukses', 'terima']"
semoga bisa membantu kami trimakasih,0,semoga bisa membantu kami trimakasih,moga bisa bantu kami trimakasih,"['moga', 'bisa', 'bantu', 'kami', 'trimakasih']","['semoga', 'bisa', 'bantu', 'kami', 'trimakasih']"
semoga saya dapat pinjaman di sini,0,semoga saya dapat pinjaman di sini,moga saya dapat pinjam sini,"['moga', 'saya', 'dapat', 'pinjam', 'sini']","['semoga', 'aku', 'dapat', 'pinjam', 'sini']"
bintang empat dulu terima kasih,0,bintang empat dulu terima kasih,bintang empat dulu terima kasih,"['bintang', 'empat', 'dulu', 'terima', 'kasih']","['bintang', 'empat', 'dulu', 'terima', 'kasih']"
"isi datanya sangat baik, smoga cepat d acc",0,isi datanya sangat baik smoga cepat d acc,isi data sangat baik smoga cepat acc,"['isi', 'data', 'sangat', 'baik', 'smoga', 'cepat', 'acc']","['isi', 'data', 'sangat', 'baik', 'smoga', 'cepat', 'terima']"
semoga d setujui,0,semoga d setujui,moga tuju,"['moga', 'tuju']","['semoga', 'tuju']"
mudah2an pinjaman indodana berjalan lancar n dipermudahkan,0,mudah an pinjaman indodana berjalan lancar n dipermudahkan,mudah pinjam indodana jalan lancar n mudah,"['mudah', 'pinjam', 'indodana', 'jalan', 'lancar', 'n', 'mudah']","['mudah', 'pinjam', 'indodana', 'jalan', 'lancar', 'dan', 'mudah']"
saya mohon untuk berikan saya pinjaman,0,saya mohon untuk berikan saya pinjaman,saya mohon untuk ikan saya pinjam,"['saya', 'mohon', 'untuk', 'ikan', 'saya', 'pinjam']","['aku', 'mohon', 'untuk', 'ikan', 'aku', 'pinjam']"
"mudah mudahan bs membantu, jika kebutuhan mendesak",0,mudah mudahan bs membantu jika kebutuhan mendesak,mudah mudah bantu jika butuh desak,"['mudah', 'mudah', 'bantu', 'jika', 'butuh', 'desak']","['mudah', 'mudah', 'bantu', 'jika', 'butuh', 'desak']"
"sebenarnya bagus aplikasinya, tapi saat saya buat pengajuan ternyata di tolak, padahal saya lagi butuh banget ã°å¸ëå,, saya mau keluar dari aplikasi ini, minta tolong hapus data saya ya, dan tolong jangan di salah gunakan data2 saya ã°å¸â¢âã°å¸â¢â",0,sebenarnya bagus aplikasinya tapi saat saya buat pengajuan ternyata di tolak padahal saya lagi butuh banget saya mau keluar dari aplikasi ini minta tolong hapus data saya ya dan tolong jangan di salah gunakan data saya,benar bagus aplikasi tapi saat saya aju nyata tolak padahal saya butuh saya keluar aplikasi minta tolong hapus data saya dan tolong jangan salah guna data saya,"['benar', 'bagus', 'aplikasi', 'tapi', 'saat', 'saya', 'aju', 'nyata', 'tolak', 'padahal', 'saya', 'butuh', 'saya', 'keluar', 'aplikasi', 'minta', 'tolong', 'hapus', 'data', 'saya', 'dan', 'tolong', 'jangan', 'salah', 'guna', 'data', 'saya']","['benar', 'bagus', 'aplikasi', 'tapi', 'saat', 'aku', 'aju', 'nyata', 'tolak', 'padahal', 'aku', 'butuh', 'aku', 'keluar', 'aplikasi', 'minta', 'tolong', 'hapus', 'data', 'aku', 'dan', 'tolong', 'jangan', 'salah', 'guna', 'data', 'aku']"
cb bintang 5 klo bagus ttp bintang 5,0,cb bintang klo bagus ttp bintang,cb bintang klo bagus ttp bintang,"['cb', 'bintang', 'klo', 'bagus', 'ttp', 'bintang']","['coba', 'bintang', 'kalau', 'bagus', 'tetap', 'bintang']"
semoga cepat dih acc,0,semoga cepat dih acc,moga cepat dih acc,"['moga', 'cepat', 'dih', 'acc']","['semoga', 'cepat', 'dih', 'terima']"
"yth bpk/ibu,,,sya ats nm rosita ingin mngajukn penghpusn akun saya d apk ini gmna crany ea trima ksihã°å¸â¢â",0,yth bpk ibu sya ats nm rosita ingin mngajukn penghpusn akun saya d apk ini gmna crany ea trima ksih,bpk ibu sya ats nm rosita ingin mngajukn penghpusn akun saya apk gmna crany ea trima ksih,"['bpk', 'ibu', 'sya', 'ats', 'nm', 'rosita', 'ingin', 'mngajukn', 'penghpusn', 'akun', 'saya', 'apk', 'gmna', 'crany', 'ea', 'trima', 'ksih']","['bapak', 'ibu', 'aku', 'ats', 'nm', 'rosita', 'ingin', 'mngajukn', 'penghpusn', 'akun', 'aku', 'aplikasi', 'gmna', 'crany', 'ea', 'trima', 'ksih']"
kenapa ya verifikaai wajah selalu gagal,0,kenapa ya verifikaai wajah selalu gagal,kenapa verifikaai wajah selalu gagal,"['kenapa', 'verifikaai', 'wajah', 'selalu', 'gagal']","['kenapa', 'verifikaai', 'wajah', 'selalu', 'gagal']"
masi mencoba daftar..,0,masi mencoba daftar,mas coba daftar,"['mas', 'coba', 'daftar']","['kakak', 'coba', 'daftar']"
"mohon di bantu ya,sya sangat membutuh kan pinjam.",0,mohon di bantu ya sya sangat membutuh kan pinjam,mohon bantu sya sangat butuh pinjam,"['mohon', 'bantu', 'sya', 'sangat', 'butuh', 'pinjam']","['mohon', 'bantu', 'aku', 'sangat', 'butuh', 'pinjam']"
baru coba nekt low dah cair,0,baru coba nekt low dah cair,baru coba nekt low cair,"['baru', 'coba', 'nekt', 'low', 'cair']","['baru', 'coba', 'nekt', 'low', 'cair']"
semoga sy lolos dlm pinjaman makasih indodana,0,semoga sy lolos dlm pinjaman makasih indodana,moga sy lolos dlm pinjam makasih indodana,"['moga', 'sy', 'lolos', 'dlm', 'pinjam', 'makasih', 'indodana']","['semoga', 'saya', 'lolos', 'dalam', 'pinjam', 'terimakasih', 'indodana']"
bintang 2 dulu.. kalo saya dpt limit saya kasih bintang 5,0,bintang dulu kalo saya dpt limit saya kasih bintang,bintang dulu kalo saya dpt limit saya kasih bintang,"['bintang', 'dulu', 'kalo', 'saya', 'dpt', 'limit', 'saya', 'kasih', 'bintang']","['bintang', 'dulu', 'kalau', 'aku', 'dapat', 'limit', 'aku', 'kasih', 'bintang']"
meskipun aku ngak tau hasilnya gimana tetap aku beri bintang karna banyak komentar indodana slalu membantu,0,meskipun aku ngak tau hasilnya gimana tetap aku beri bintang karna banyak komentar indodana slalu membantu,meski aku ngak tau hasil gimana tetap aku beri bintang karna banyak komentar indodana slalu bantu,"['meski', 'aku', 'ngak', 'tau', 'hasil', 'gimana', 'tetap', 'aku', 'beri', 'bintang', 'karna', 'banyak', 'komentar', 'indodana', 'slalu', 'bantu']","['meski', 'aku', 'tidak', 'tau', 'hasil', 'gimana', 'tetap', 'aku', 'beri', 'bintang', 'karena', 'banyak', 'komentar', 'indodana', 'selalu', 'bantu']"
mudah-mudahan d acc,0,mudah mudahan d acc,mudah mudah acc,"['mudah', 'mudah', 'acc']","['mudah', 'mudah', 'terima']"
apakan pembayaran waktu nya bisa di perpanjang min 12 bulan,0,apakan pembayaran waktu nya bisa di perpanjang min bulan,apa bayar nya bisa panjang min bulan,"['apa', 'bayar', 'nya', 'bisa', 'panjang', 'min', 'bulan']","['apa', 'bayar', 'nya', 'bisa', 'panjang', 'admin', 'bulan']"
"saya kasih bintang 4 dulu,mudah2an di acc ya.",0,saya kasih bintang dulu mudah an di acc ya,saya kasih bintang dulu mudah di acc,"['saya', 'kasih', 'bintang', 'dulu', 'mudah', 'di', 'acc']","['aku', 'kasih', 'bintang', 'dulu', 'mudah', 'di', 'terima']"
mudah2an bisa membantu banyk orang,0,mudah an bisa membantu banyk orang,mudah bisa bantu banyk orang,"['mudah', 'bisa', 'bantu', 'banyk', 'orang']","['mudah', 'bisa', 'bantu', 'banyk', 'orang']"
"yth bpk/ibu saya yang bernama ririn,meminta tolong untk menghapus data-data pribadi saya dari aplikasi ini,dikarenakan tidak bisa diproses/ditolak,saya tunggu balasan dari bpk/ibu terimakasih",0,yth bpk ibu saya yang bernama ririn meminta tolong untk menghapus data data pribadi saya dari aplikasi ini dikarenakan tidak bisa diproses ditolak saya tunggu balasan dari bpk ibu terimakasih,bpk ibu saya nama ririn minta tolong untk hapus data data pribadi saya aplikasi karena tidak bisa proses tolak saya tunggu balas bpk ibu terimakasih,"['bpk', 'ibu', 'saya', 'nama', 'ririn', 'minta', 'tolong', 'untk', 'hapus', 'data', 'data', 'pribadi', 'saya', 'aplikasi', 'karena', 'tidak', 'bisa', 'proses', 'tolak', 'saya', 'tunggu', 'balas', 'bpk', 'ibu', 'terimakasih']","['bapak', 'ibu', 'aku', 'nama', 'ririn', 'minta', 'tolong', 'untk', 'hapus', 'data', 'data', 'pribadi', 'aku', 'aplikasi', 'karena', 'tidak', 'bisa', 'proses', 'tolak', 'aku', 'tunggu', 'balas', 'bapak', 'ibu', 'terimakasih']"
mudah2an saya bisa di acc. aamiin,0,mudah an saya bisa di acc aamiin,mudah saya bisa acc aamiin,"['mudah', 'saya', 'bisa', 'acc', 'aamiin']","['mudah', 'aku', 'bisa', 'terima', 'amin']"
tk kasih 1 bintang dulu nnt kalo cair tk tmbh bintang nya,0,tk kasih bintang dulu nnt kalo cair tk tmbh bintang nya,tk kasih bintang dulu nnt kalo cair tk tmbh bintang,"['tk', 'kasih', 'bintang', 'dulu', 'nnt', 'kalo', 'cair', 'tk', 'tmbh', 'bintang']","['tk', 'kasih', 'bintang', 'dulu', 'nanti', 'kalau', 'cair', 'tk', 'tmbh', 'bintang']"
blm diacc,0,blm diacc,blm diacc,"['blm', 'diacc']","['belum', 'terima']"
udh 3x pengajuan ditolak terus data mah udah lengkap ...,0,udh x pengajuan ditolak terus data mah udah lengkap,udh aju tolak data udah lengkap,"['udh', 'aju', 'tolak', 'data', 'udah', 'lengkap']","['sudah', 'aju', 'tolak', 'data', 'sudah', 'lengkap']"
kl limit sesuai pengajuan sy kasih bintang lima,0,kl limit sesuai pengajuan sy kasih bintang lima,limit sesuai aju sy kasih bintang lima,"['limit', 'sesuai', 'aju', 'sy', 'kasih', 'bintang', 'lima']","['limit', 'sesuai', 'aju', 'saya', 'kasih', 'bintang', 'lima']"
"mudah2 an bisa menjadi patner keuangan,,,,untuk masa depan bersama yang lebih baik...ã°å¸â¢âã°å¸â¢âã°å¸â¢â",0,mudah an bisa menjadi patner keuangan untuk masa depan bersama yang lebih baik,mudah bisa jadi patner uang untuk masa depan sama lebih baik,"['mudah', 'bisa', 'jadi', 'patner', 'uang', 'untuk', 'masa', 'depan', 'sama', 'lebih', 'baik']","['mudah', 'bisa', 'jadi', 'patner', 'uang', 'untuk', 'masa', 'depan', 'sama', 'lebih', 'baik']"
semoga diterima aamiin,0,semoga diterima aamiin,moga terima aamiin,"['moga', 'terima', 'aamiin']","['semoga', 'terima', 'amin']"
"mudah""an cair",0,mudah an cair,mudah cair,"['mudah', 'cair']","['mudah', 'cair']"
saya cuma minta data saya dihapus jangan disalah gunakan,0,saya cuma minta data saya dihapus jangan disalah gunakan,saya cuma minta data saya hapus jangan salah guna,"['saya', 'cuma', 'minta', 'data', 'saya', 'hapus', 'jangan', 'salah', 'guna']","['aku', 'hanya', 'minta', 'data', 'aku', 'hapus', 'jangan', 'salah', 'guna']"
maaf saya sudah uninstal tolong hapus data saya,0,maaf saya sudah uninstal tolong hapus data saya,maaf saya sudah uninstal tolong hapus data saya,"['maaf', 'saya', 'sudah', 'uninstal', 'tolong', 'hapus', 'data', 'saya']","['maaf', 'aku', 'sudah', 'uninstall', 'tolong', 'hapus', 'data', 'aku']"
tolong aktifkan lagi limit ny terimakasih,0,tolong aktifkan lagi limit ny terimakasih,tolong aktif limit terimakasih,"['tolong', 'aktif', 'limit', 'terimakasih']","['tolong', 'aktif', 'limit', 'terimakasih']"
kasih bintang 3 klo cair kutambah jadi bintang 4,0,kasih bintang klo cair kutambah jadi bintang,kasih bintang klo cair tambah jadi bintang,"['kasih', 'bintang', 'klo', 'cair', 'tambah', 'jadi', 'bintang']","['kasih', 'bintang', 'kalau', 'cair', 'tambah', 'jadi', 'bintang']"
baru mau coba mudah-mudahan limit nya besar,0,baru mau coba mudah mudahan limit nya besar,baru coba mudah mudah limit besar,"['baru', 'coba', 'mudah', 'mudah', 'limit', 'besar']","['baru', 'coba', 'mudah', 'mudah', 'limit', 'besar']"
kl di acc baru kasih bintang 5,0,kl di acc baru kasih bintang,di acc baru kasih bintang,"['di', 'acc', 'baru', 'kasih', 'bintang']","['di', 'terima', 'baru', 'kasih', 'bintang']"
"saya coba dulu,,,kalau di setujui bru kasih bintang 5",0,saya coba dulu kalau di setujui bru kasih bintang,saya coba dulu kalau tuju bru kasih bintang,"['saya', 'coba', 'dulu', 'kalau', 'tuju', 'bru', 'kasih', 'bintang']","['aku', 'coba', 'dulu', 'kalau', 'tuju', 'baru', 'kasih', 'bintang']"
bintang 2 dulu kalau bagus tambah lagi,0,bintang dulu kalau bagus tambah lagi,bintang dulu kalau bagus tambah,"['bintang', 'dulu', 'kalau', 'bagus', 'tambah']","['bintang', 'dulu', 'kalau', 'bagus', 'tambah']"
semoga aja bisa amin,0,semoga aja bisa amin,moga bisa amin,"['moga', 'bisa', 'amin']","['semoga', 'bisa', 'amin']"
coba kasih bintang 3 dulu soalnya baru pertama dan belum tau lolos/gaknya,0,coba kasih bintang dulu soalnya baru pertama dan belum tau lolos gaknya,coba kasih bintang dulu soal baru pertama belum tau lolos gaknya,"['coba', 'kasih', 'bintang', 'dulu', 'soal', 'baru', 'pertama', 'belum', 'tau', 'lolos', 'gaknya']","['coba', 'kasih', 'bintang', 'dulu', 'soal', 'baru', 'pertama', 'belum', 'tau', 'lolos', 'gaknya']"
semakin sukses utk indodana yaaã°å¸ââã°å¸ââ,0,semakin sukses utk indodana yaa,makin sukses utk indodana,"['makin', 'sukses', 'utk', 'indodana']","['makin', 'sukses', 'untuk', 'indodana']"
semuanya akan indah pada saatnya,0,semuanya akan indah pada saatnya,semua akan indah saat,"['semua', 'akan', 'indah', 'saat']","['semua', 'akan', 'indah', 'saat']"
bismilah di acc pak,0,bismilah di acc pak,bismilah acc pak,"['bismilah', 'acc', 'pak']","['bismilah', 'terima', 'bapak']"
smoga di acc,0,smoga di acc,smoga acc,"['smoga', 'acc']","['smoga', 'terima']"
semoga sukses,0,semoga sukses,moga sukses,"['moga', 'sukses']","['semoga', 'sukses']"
alhamdulilahhh ..terimah kash smga cepet di acc,0,alhamdulilahhh terimah kash smga cepet di acc,alhamdulilahhh terimah kash smga cepet acc,"['alhamdulilahhh', 'terimah', 'kash', 'smga', 'cepet', 'acc']","['alhamdulilahhh', 'terimah', 'kash', 'smga', 'cepat', 'terima']"
smoga membantu,0,smoga membantu,smoga bantu,"['smoga', 'bantu']","['smoga', 'bantu']"
"minta tolong hapus data pribadi saya, mohon segera di balas",0,minta tolong hapus data pribadi saya mohon segera di balas,minta tolong hapus data pribadi saya mohon segera balas,"['minta', 'tolong', 'hapus', 'data', 'pribadi', 'saya', 'mohon', 'segera', 'balas']","['minta', 'tolong', 'hapus', 'data', 'pribadi', 'aku', 'mohon', 'segera', 'balas']"
moga di permudah acc nya,0,moga di permudah acc nya,moga mudah acc,"['moga', 'mudah', 'acc']","['semoga', 'mudah', 'terima']"
gagal terus,0,gagal terus,gagal,['gagal'],['gagal']
coba coba,0,coba coba,coba coba,"['coba', 'coba']","['coba', 'coba']"
coba indo dana,0,coba indo dana,coba indo dana,"['coba', 'indo', 'dana']","['coba', 'indonesia', 'dana']"
klu cair ksih bintang lima,0,klu cair ksih bintang lima,klu cair ksih bintang lima,"['klu', 'cair', 'ksih', 'bintang', 'lima']","['klu', 'cair', 'ksih', 'bintang', 'lima']"
moga di setujui,0,moga di setujui,moga tuju,"['moga', 'tuju']","['semoga', 'tuju']"
tolong dicairkan,0,tolong dicairkan,tolong cair,"['tolong', 'cair']","['tolong', 'cair']"
menunggu di terima oleh admin,0,menunggu di terima oleh admin,tunggu terima oleh admin,"['tunggu', 'terima', 'oleh', 'admin']","['tunggu', 'terima', 'oleh', 'admin']"
bagus moga di acc yah,0,bagus moga di acc yah,bagus moga acc,"['bagus', 'moga', 'acc']","['bagus', 'semoga', 'terima']"
mari kita coba smoga lulus,0,mari kita coba smoga lulus,mari kita coba smoga lulus,"['mari', 'kita', 'coba', 'smoga', 'lulus']","['mari', 'kita', 'coba', 'smoga', 'lulus']"
mudah-mudahan bisa karna saya mau paylater maxim,0,mudah mudahan bisa karna saya mau paylater maxim,mudah mudah bisa karna saya paylater maxim,"['mudah', 'mudah', 'bisa', 'karna', 'saya', 'paylater', 'maxim']","['mudah', 'mudah', 'bisa', 'karena', 'aku', 'paylater', 'maxim']"
kalo di acc aku kasih full bintang buat apk nya tapi sebaliknya kalo di tolak aku kasih nol bintang . kalo mau full bintang bantu saya agar di acc,0,kalo di acc aku kasih full bintang buat apk nya tapi sebaliknya kalo di tolak aku kasih nol bintang kalo mau full bintang bantu saya agar di acc,kalo acc aku kasih full bintang apk tapi balik kalo tolak aku kasih nol bintang kalo full bintang bantu saya agar acc,"['kalo', 'acc', 'aku', 'kasih', 'full', 'bintang', 'apk', 'tapi', 'balik', 'kalo', 'tolak', 'aku', 'kasih', 'nol', 'bintang', 'kalo', 'full', 'bintang', 'bantu', 'saya', 'agar', 'acc']","['kalau', 'terima', 'aku', 'kasih', 'penuh', 'bintang', 'aplikasi', 'tapi', 'balik', 'kalau', 'tolak', 'aku', 'kasih', 'nol', 'bintang', 'kalau', 'penuh', 'bintang', 'bantu', 'aku', 'agar', 'terima']"
"3 bintang dulu,kalau di acc langsung kasih full bintang",0,bintang dulu kalau di acc langsung kasih full bintang,bintang dulu kalau acc langsung kasih full bintang,"['bintang', 'dulu', 'kalau', 'acc', 'langsung', 'kasih', 'full', 'bintang']","['bintang', 'dulu', 'kalau', 'terima', 'langsung', 'kasih', 'penuh', 'bintang']"
kasih satu dulu kalo emang cair saya kasih lima bintang,0,kasih satu dulu kalo emang cair saya kasih lima bintang,kasih satu dulu kalo emang cair saya kasih lima bintang,"['kasih', 'satu', 'dulu', 'kalo', 'emang', 'cair', 'saya', 'kasih', 'lima', 'bintang']","['kasih', 'satu', 'dulu', 'kalau', 'memang', 'cair', 'aku', 'kasih', 'lima', 'bintang']"
semoga pinjaman saya besar,0,semoga pinjaman saya besar,moga pinjam saya besar,"['moga', 'pinjam', 'saya', 'besar']","['semoga', 'pinjam', 'aku', 'besar']"
semoga pengajuan pinjaman saya bisa cair,0,semoga pengajuan pinjaman saya bisa cair,moga aju pinjam saya bisa cair,"['moga', 'aju', 'pinjam', 'saya', 'bisa', 'cair']","['semoga', 'aju', 'pinjam', 'aku', 'bisa', 'cair']"
bintang 3 dulu kalau d cc kasih bintang 5.tks,0,bintang dulu kalau d cc kasih bintang tks,bintang dulu kalau cc kasih bintang tks,"['bintang', 'dulu', 'kalau', 'cc', 'kasih', 'bintang', 'tks']","['bintang', 'dulu', 'kalau', 'cc', 'kasih', 'bintang', 'tks']"
kalau di acc baru tambah bintang nya,0,kalau di acc baru tambah bintang nya,kalau acc baru tambah bintang,"['kalau', 'acc', 'baru', 'tambah', 'bintang']","['kalau', 'terima', 'baru', 'tambah', 'bintang']"
aplikasi bagus mudah cepat d acc,0,aplikasi bagus mudah cepat d acc,aplikasi bagus mudah cepat acc,"['aplikasi', 'bagus', 'mudah', 'cepat', 'acc']","['aplikasi', 'bagus', 'mudah', 'cepat', 'terima']"
semoga d lancarkan acc x,0,semoga d lancarkan acc x,moga lancar acc,"['moga', 'lancar', 'acc']","['semoga', 'lancar', 'terima']"
bunga nya besar tolong di perkecil lagi,0,bunga nya besar tolong di perkecil lagi,bunga besar tolong kecil,"['bunga', 'besar', 'tolong', 'kecil']","['bunga', 'besar', 'tolong', 'kecil']"
pengisian zata mudah ngk ribet..smg di acc indodana,0,pengisian zata mudah ngk ribet smg di acc indodana,isi zata mudah ngk ribet smg acc indodana,"['isi', 'zata', 'mudah', 'ngk', 'ribet', 'smg', 'acc', 'indodana']","['isi', 'zata', 'mudah', 'tidak', 'ribet', 'smg', 'terima', 'indodana']"
mudah dan semoga di acc,0,mudah dan semoga di acc,mudah moga acc,"['mudah', 'moga', 'acc']","['mudah', 'semoga', 'terima']"
kasih 3 aja dulu nnty kalau udah acc q kasih bintang 5,0,kasih aja dulu nnty kalau udah acc q kasih bintang,kasih dulu nnty kalau udah acc q kasih bintang,"['kasih', 'dulu', 'nnty', 'kalau', 'udah', 'acc', 'q', 'kasih', 'bintang']","['kasih', 'dulu', 'nnty', 'kalau', 'sudah', 'terima', 'q', 'kasih', 'bintang']"
baru nyoba,0,baru nyoba,baru nyoba,"['baru', 'nyoba']","['baru', 'coba']"
aq kasih 2 dulu soalnya blm tentu d acc,0,aq kasih dulu soalnya blm tentu d acc,aq kasih dulu soal blm tentu acc,"['aq', 'kasih', 'dulu', 'soal', 'blm', 'tentu', 'acc']","['aku', 'kasih', 'dulu', 'soal', 'belum', 'tentu', 'terima']"
"pengajuannya sangat mudah , kalau di acc naik bintang 5. ..",0,pengajuannya sangat mudah kalau di acc naik bintang,aju sangat mudah kalau acc naik bintang,"['aju', 'sangat', 'mudah', 'kalau', 'acc', 'naik', 'bintang']","['aju', 'sangat', 'mudah', 'kalau', 'terima', 'naik', 'bintang']"
baru daftar langsung akun tidak aktif..,0,baru daftar langsung akun tidak aktif,baru daftar langsung akun tidak aktif,"['baru', 'daftar', 'langsung', 'akun', 'tidak', 'aktif']","['baru', 'daftar', 'langsung', 'akun', 'tidak', 'aktif']"
masih coba,0,masih coba,masih coba,"['masih', 'coba']","['masih', 'coba']"
bintang 3 dulu semoga di acc,0,bintang dulu semoga di acc,bintang dulu moga acc,"['bintang', 'dulu', 'moga', 'acc']","['bintang', 'dulu', 'semoga', 'terima']"
baru nyoba liat acc dlu apa tdk,0,baru nyoba liat acc dlu apa tdk,baru nyoba liat acc dlu apa tdk,"['baru', 'nyoba', 'liat', 'acc', 'dlu', 'apa', 'tdk']","['baru', 'coba', 'lihat', 'terima', 'dulu', 'apa', 'tidak']"
semoga proses nya bisa di acc,0,semoga proses nya bisa di acc,moga proses bisa acc,"['moga', 'proses', 'bisa', 'acc']","['semoga', 'proses', 'bisa', 'terima']"
.semoga lolos verifikasi,0,semoga lolos verifikasi,moga lolos verifikasi,"['moga', 'lolos', 'verifikasi']","['semoga', 'lolos', 'verifikasi']"
semoga menjadi berkah,0,semoga menjadi berkah,moga jadi berkah,"['moga', 'jadi', 'berkah']","['semoga', 'jadi', 'berkah']"
smoga di acc ..nanti klw di acc bintangnya pasti full,0,smoga di acc nanti klw di acc bintangnya pasti full,smoga acc nanti klw acc bintang pasti full,"['smoga', 'acc', 'nanti', 'klw', 'acc', 'bintang', 'pasti', 'full']","['smoga', 'terima', 'nanti', 'klw', 'terima', 'bintang', 'pasti', 'penuh']"
